student_id,gender,age,math_score,reading_score,writing_score,attendance_rate,study_hours_per_week,parental_education,internet_access,lunch,test_preparation_course,average_score
4661.0,male,17.0,11.0,70.0,25.0,86.68,34.8,phd,yes,free/reduced,completed,35.333333333333336
5855.0,male,,45.0,,97.0,90.5,35.1,master,,standard,completed,66.66666666666667
7510.0,female,19.0,21.0,16.0,93.0,86.89,17.1,bachelor,yes,free/reduced,completed,43.333333333333336
9984.0,,18.0,95.0,39.0,,74.22,2.6,master,yes,free/reduced,completed,
4239.0,female,18.0,,85.0,29.0,67.72,22.6,phd,,free/reduced,completed,62.333333333333336
6311.0,,15.0,87.0,72.0,49.0,99.72,,bachelor,no,free/reduced,none,69.33333333333333
371.0,female,,34.0,,22.0,63.31,30.2,bachelor,no,free/reduced,completed,40.0
9145.0,,19.0,45.0,97.0,57.0,62.52,14.0,bachelor,,free/reduced,none,66.33333333333333
6059.0,male,16.0,80.0,45.0,59.0,74.65,,phd,no,free/reduced,completed,61.333333333333336
3757.0,male,16.0,,,100.0,66.59,37.8,bachelor,,free/reduced,completed,91.33333333333333
9330.0,male,17.0,,23.0,44.0,65.83,10.1,bachelor,no,standard,none,
7947.0,male,15.0,69.0,18.0,71.0,98.23,22.4,high school,,standard,none,52.666666666666664
11073.0,male,15.0,13.0,59.0,34.0,63.39,,,,standard,none,35.333333333333336
6964.0,male,15.0,16.0,17.0,10.0,72.07,,master,,free/reduced,,14.333333333333334
,male,17.0,67.0,29.0,2.0,96.16,0.1,bachelor,no,standard,completed,32.666666666666664
9854.0,female,17.0,35.0,62.0,,85.29,28.4,,yes,standard,none,42.333333333333336
6500.0,male,15.0,,28.0,66.0,94.93,,high school,yes,standard,,50.666666666666664
2121.0,female,21.0,81.0,33.0,30.0,61.22,37.0,,,standard,completed,48.0
4971.0,female,18.0,63.0,82.0,,74.6,8.9,phd,no,free/reduced,completed,57.666666666666664
305.0,,17.0,,86.0,10.0,,28.7,bachelor,no,free/reduced,completed,33.666666666666664
,male,15.0,77.0,25.0,42.0,58.74,,,,free/reduced,,48.0
10983.0,female,17.0,59.0,4.0,43.0,59.04,32.3,master,no,standard,completed,35.333333333333336
1567.0,male,21.0,62.0,16.0,9.0,79.99,18.8,master,,standard,none,
4764.0,female,15.0,73.0,17.0,75.0,,33.6,bachelor,no,standard,none,55.0
10573.0,female,20.0,9.0,89.0,49.0,54.37,32.4,,no,standard,completed,49.0
8811.0,male,16.0,,26.0,36.0,66.2,27.5,,no,free/reduced,none,47.0
8200.0,male,17.0,18.0,43.0,11.0,75.86,34.0,,yes,standard,none,24.0
5048.0,female,20.0,,12.0,83.0,68.33,36.4,high school,,free/reduced,completed,53.0
8090.0,female,19.0,73.0,19.0,67.0,73.63,38.8,phd,no,standard,completed,53.0
7649.0,female,18.0,81.0,90.0,48.0,93.88,19.7,high school,no,free/reduced,completed,73.0
7006.0,male,,68.0,89.0,9.0,65.91,12.5,master,,,completed,55.333333333333336
9279.0,female,16.0,,46.0,57.0,66.0,10.5,master,,,completed,54.666666666666664
11653.0,male,17.0,11.0,58.0,,,12.7,phd,no,free/reduced,none,42.0
,,18.0,58.0,,23.0,50.67,39.8,bachelor,yes,free/reduced,completed,58.666666666666664
7117.0,male,20.0,20.0,31.0,26.0,59.03,19.0,,,standard,,25.666666666666668
6517.0,male,19.0,27.0,81.0,18.0,79.51,35.7,high school,,standard,none,42.0
8331.0,female,17.0,6.0,,23.0,61.05,2.7,bachelor,,free/reduced,completed,39.333333333333336
,male,21.0,94.0,88.0,,81.34,32.0,bachelor,no,free/reduced,none,66.0
8384.0,male,17.0,84.0,,69.0,79.83,28.1,bachelor,yes,free/reduced,none,80.66666666666667
10971.0,male,18.0,84.0,,21.0,65.7,10.5,,,standard,none,55.0
5847.0,female,15.0,98.0,,91.0,61.53,15.5,,,standard,none,73.33333333333333
11734.0,male,,,11.0,74.0,78.37,39.3,,yes,free/reduced,none,59.0
5306.0,male,18.0,4.0,,55.0,,24.0,bachelor,yes,free/reduced,completed,49.0
8250.0,female,15.0,32.0,93.0,42.0,85.0,4.8,high school,no,,completed,55.666666666666664
6195.0,male,20.0,,13.0,22.0,96.7,26.6,phd,,standard,none,19.0
1121.0,female,21.0,19.0,43.0,44.0,62.57,,high school,,,none,35.333333333333336
10052.0,male,16.0,76.0,81.0,,67.72,34.7,high school,,standard,completed,
499.0,male,15.0,74.0,45.0,60.0,55.21,11.7,,no,free/reduced,completed,59.666666666666664
170.0,female,21.0,3.0,60.0,14.0,58.27,18.5,,yes,standard,completed,25.666666666666668
2039.0,female,,18.0,14.0,81.0,50.7,19.3,master,no,standard,completed,
8194.0,female,15.0,87.0,81.0,,60.61,17.1,bachelor,yes,free/reduced,none,79.66666666666667
11542.0,female,17.0,82.0,68.0,31.0,69.83,5.2,master,no,free/reduced,completed,60.333333333333336
2824.0,female,18.0,67.0,,18.0,91.87,35.1,phd,,free/reduced,completed,46.666666666666664
1639.0,male,16.0,64.0,14.0,88.0,89.68,,master,yes,standard,completed,55.333333333333336
4153.0,,20.0,18.0,100.0,44.0,97.92,,,yes,free/reduced,completed,54.0
2851.0,female,15.0,55.0,62.0,33.0,72.35,34.1,,yes,free/reduced,none,50.0
6567.0,male,16.0,78.0,66.0,80.0,54.43,22.9,master,,free/reduced,none,74.66666666666667
11670.0,female,20.0,19.0,,25.0,97.68,21.3,master,yes,,completed,29.666666666666668
1356.0,,16.0,45.0,30.0,,52.67,24.1,master,,,completed,33.333333333333336
7911.0,female,19.0,70.0,7.0,,74.62,22.3,,,free/reduced,none,
10745.0,female,17.0,22.0,34.0,38.0,96.79,31.0,phd,,standard,none,31.333333333333332
10838.0,female,16.0,83.0,97.0,19.0,68.92,3.8,,no,standard,completed,66.33333333333333
3553.0,,,57.0,78.0,9.0,75.87,29.2,master,yes,,none,48.0
4600.0,male,18.0,54.0,61.0,98.0,71.13,24.7,phd,,,completed,71.0
1130.0,female,15.0,66.0,3.0,96.0,67.13,2.1,,yes,free/reduced,none,55.0
8642.0,female,16.0,28.0,21.0,10.0,59.72,6.5,,,free/reduced,none,19.666666666666668
2859.0,male,21.0,,88.0,46.0,52.01,28.8,phd,no,standard,,66.66666666666667
,male,17.0,47.0,,19.0,57.07,37.6,,no,standard,none,38.333333333333336
5816.0,male,18.0,,,13.0,92.69,16.6,master,,free/reduced,none,
9127.0,female,21.0,73.0,0.0,52.0,58.03,,bachelor,no,free/reduced,none,41.666666666666664
9690.0,male,21.0,48.0,95.0,84.0,95.26,14.5,phd,,standard,none,75.66666666666667
5235.0,male,19.0,20.0,61.0,9.0,99.81,16.7,,,standard,,30.0
2861.0,male,16.0,4.0,45.0,49.0,86.55,,bachelor,,standard,none,32.666666666666664
5841.0,female,21.0,7.0,41.0,31.0,70.51,4.1,master,,standard,completed,26.333333333333332
5512.0,,19.0,75.0,25.0,66.0,86.48,19.8,phd,yes,standard,completed,55.333333333333336
7976.0,female,17.0,32.0,33.0,6.0,74.39,18.2,high school,,free/reduced,none,23.666666666666668
4151.0,female,,56.0,81.0,1.0,67.67,38.1,,yes,,none,46.0
,male,20.0,93.0,,88.0,61.41,1.0,master,,standard,completed,76.33333333333333
9230.0,female,19.0,1.0,100.0,76.0,57.65,7.7,,,free/reduced,none,59.0
7813.0,female,19.0,,57.0,32.0,93.0,4.9,bachelor,yes,standard,completed,40.333333333333336
10437.0,female,21.0,64.0,,99.0,61.6,,phd,,free/reduced,none,58.666666666666664
3125.0,male,19.0,21.0,41.0,7.0,93.37,2.0,bachelor,no,free/reduced,none,23.0
10350.0,female,17.0,28.0,51.0,59.0,88.1,34.5,master,,free/reduced,completed,46.0
10945.0,male,16.0,21.0,55.0,24.0,79.4,12.1,bachelor,yes,free/reduced,completed,33.333333333333336
4599.0,female,15.0,,21.0,6.0,86.02,11.6,master,no,free/reduced,completed,26.666666666666668
5613.0,male,17.0,89.0,,7.0,81.54,16.0,,,,,40.333333333333336
,female,16.0,11.0,,55.0,52.96,11.2,high school,,free/reduced,none,32.333333333333336
2015.0,female,18.0,79.0,100.0,,93.28,2.1,high school,no,,none,
3556.0,female,16.0,33.0,35.0,,,4.1,master,yes,,completed,39.666666666666664
5746.0,male,19.0,24.0,,18.0,92.66,26.3,high school,,free/reduced,completed,44.0
10277.0,male,16.0,3.0,61.0,79.0,87.04,36.2,high school,no,standard,none,47.666666666666664
4993.0,,17.0,44.0,1.0,71.0,52.52,30.9,high school,yes,standard,none,38.666666666666664
6244.0,,20.0,60.0,71.0,72.0,73.9,22.4,,no,free/reduced,,67.66666666666667
1029.0,male,,63.0,,5.0,82.02,0.6,,,,none,42.333333333333336
9656.0,female,16.0,13.0,62.0,41.0,80.8,13.3,phd,,standard,,38.666666666666664
10102.0,male,19.0,93.0,72.0,0.0,51.31,10.2,phd,no,standard,completed,55.0
11336.0,female,16.0,40.0,,,90.94,9.4,,yes,free/reduced,none,44.0
5374.0,female,16.0,22.0,88.0,86.0,71.62,17.3,bachelor,,standard,completed,65.33333333333333
538.0,male,,51.0,81.0,94.0,,33.4,,no,standard,completed,75.33333333333333
5366.0,male,,100.0,20.0,57.0,65.34,35.9,phd,,standard,,59.0
4917.0,male,19.0,22.0,66.0,38.0,67.08,13.0,master,no,standard,,42.0
4538.0,male,,78.0,,70.0,80.25,34.3,,,free/reduced,none,79.66666666666667
3309.0,male,17.0,89.0,75.0,55.0,71.4,,bachelor,,free/reduced,none,73.0
2761.0,,17.0,91.0,32.0,37.0,83.73,18.2,phd,,free/reduced,completed,53.333333333333336
1147.0,male,16.0,37.0,76.0,78.0,71.21,5.1,master,yes,standard,completed,63.666666666666664
5107.0,,15.0,81.0,43.0,16.0,61.03,1.4,bachelor,,standard,none,46.666666666666664
9386.0,male,19.0,83.0,66.0,43.0,82.35,12.7,,yes,standard,completed,64.0
1776.0,female,17.0,67.0,15.0,14.0,53.36,19.2,phd,yes,standard,none,32.0
2923.0,male,17.0,65.0,21.0,13.0,92.75,25.7,high school,no,standard,,33.0
5722.0,female,20.0,58.0,45.0,59.0,,5.0,phd,yes,free/reduced,completed,54.0
10405.0,female,15.0,35.0,51.0,,62.3,1.7,master,no,free/reduced,none,31.0
7665.0,female,20.0,58.0,42.0,54.0,73.53,5.6,phd,no,standard,completed,51.333333333333336
9922.0,female,16.0,43.0,73.0,20.0,60.45,21.2,,yes,standard,none,
7032.0,male,19.0,96.0,32.0,69.0,70.49,27.0,,,,completed,65.66666666666667
5324.0,female,17.0,21.0,82.0,77.0,65.58,30.2,phd,yes,free/reduced,none,60.0
2980.0,male,21.0,70.0,48.0,58.0,72.04,,high school,yes,free/reduced,none,58.666666666666664
1846.0,male,20.0,28.0,55.0,0.0,72.48,,bachelor,,standard,completed,27.666666666666668
472.0,female,21.0,,53.0,61.0,95.87,26.7,phd,yes,free/reduced,completed,56.333333333333336
2696.0,female,16.0,13.0,,78.0,96.16,,high school,,standard,,34.0
513.0,,17.0,36.0,56.0,38.0,94.13,11.7,phd,,free/reduced,completed,43.333333333333336
1304.0,female,17.0,,12.0,40.0,90.69,14.2,,,,completed,40.333333333333336
3158.0,male,21.0,3.0,39.0,16.0,74.59,18.0,,no,free/reduced,none,19.333333333333332
8405.0,female,20.0,85.0,28.0,38.0,53.39,14.1,high school,yes,standard,completed,50.333333333333336
3396.0,male,20.0,39.0,89.0,31.0,,,phd,no,free/reduced,none,53.0
4895.0,male,,88.0,70.0,1.0,94.53,,bachelor,yes,free/reduced,none,53.0
3953.0,female,16.0,15.0,52.0,,93.36,,phd,no,,completed,52.666666666666664
4489.0,female,19.0,17.0,63.0,54.0,92.27,25.6,bachelor,,free/reduced,completed,44.666666666666664
7670.0,male,15.0,11.0,97.0,17.0,57.96,34.2,high school,,standard,none,41.666666666666664
,female,20.0,34.0,86.0,14.0,,9.9,,yes,standard,completed,44.666666666666664
1207.0,male,21.0,15.0,100.0,70.0,62.77,35.4,high school,yes,standard,completed,
596.0,female,21.0,6.0,49.0,3.0,81.65,21.1,,no,standard,none,19.333333333333332
9270.0,male,,18.0,69.0,66.0,75.76,29.7,,no,free/reduced,completed,51.0
,female,20.0,,23.0,28.0,94.69,39.2,master,no,,completed,22.666666666666668
6567.0,male,16.0,78.0,66.0,80.0,54.43,22.9,master,,free/reduced,none,74.66666666666667
11615.0,female,16.0,49.0,80.0,91.0,90.35,19.6,master,no,free/reduced,completed,73.33333333333333
2962.0,male,15.0,53.0,85.0,76.0,96.05,32.7,phd,no,,none,71.33333333333333
1235.0,female,18.0,47.0,27.0,48.0,,6.1,high school,no,standard,completed,40.666666666666664
10285.0,female,15.0,,90.0,94.0,83.56,29.2,master,yes,standard,,91.66666666666667
5798.0,male,,53.0,64.0,68.0,83.11,32.7,high school,no,standard,completed,61.666666666666664
11875.0,female,21.0,,15.0,62.0,65.03,20.4,high school,,free/reduced,none,33.0
7485.0,female,,84.0,28.0,72.0,55.43,17.5,master,yes,free/reduced,none,
2178.0,female,18.0,9.0,92.0,74.0,52.23,,high school,,standard,completed,58.333333333333336
336.0,female,20.0,,70.0,22.0,,16.6,bachelor,no,standard,none,47.0
11887.0,female,21.0,43.0,90.0,10.0,63.87,22.3,phd,yes,,,47.666666666666664
,female,,1.0,51.0,,94.49,20.6,high school,,standard,none,29.0
8849.0,female,18.0,74.0,66.0,60.0,74.63,11.9,high school,no,standard,completed,66.66666666666667
8423.0,female,20.0,20.0,92.0,1.0,92.6,35.7,bachelor,no,standard,completed,37.666666666666664
10466.0,male,20.0,95.0,45.0,55.0,74.07,6.4,,no,free/reduced,none,65.0
2724.0,male,15.0,58.0,78.0,43.0,82.99,33.4,,,free/reduced,none,59.666666666666664
,female,,22.0,48.0,92.0,82.41,18.8,master,,free/reduced,completed,54.0
2588.0,female,,74.0,95.0,,96.44,7.4,master,no,standard,completed,69.33333333333333
3350.0,male,15.0,73.0,41.0,,,2.5,master,,free/reduced,completed,62.333333333333336
4543.0,female,19.0,63.0,28.0,78.0,,,master,yes,,none,56.333333333333336
4208.0,female,,35.0,82.0,50.0,53.72,,master,yes,free/reduced,completed,55.666666666666664
11468.0,female,17.0,24.0,52.0,,96.86,35.5,,yes,standard,completed,
4712.0,male,,26.0,61.0,32.0,61.79,36.6,,no,standard,none,
8768.0,male,18.0,23.0,2.0,,73.03,33.4,,no,,none,15.333333333333334
10207.0,female,21.0,41.0,4.0,52.0,83.46,3.8,,no,free/reduced,,32.333333333333336
5222.0,female,16.0,43.0,45.0,0.0,96.2,35.3,master,no,standard,completed,29.333333333333332
9986.0,female,,6.0,25.0,97.0,68.59,35.4,,,standard,completed,42.666666666666664
2071.0,male,17.0,6.0,32.0,11.0,79.91,22.4,master,,free/reduced,none,
8934.0,female,17.0,45.0,53.0,33.0,51.75,1.1,bachelor,no,free/reduced,none,43.666666666666664
9926.0,male,,27.0,3.0,6.0,81.0,25.4,,,free/reduced,none,12.0
8799.0,male,19.0,,30.0,70.0,69.19,5.5,master,no,free/reduced,completed,61.333333333333336
4887.0,,16.0,81.0,44.0,61.0,95.78,23.5,high school,,standard,completed,62.0
10802.0,female,19.0,77.0,21.0,72.0,72.54,28.0,phd,,,none,56.666666666666664
757.0,female,20.0,51.0,93.0,16.0,88.27,4.3,,,standard,completed,53.333333333333336
3726.0,female,15.0,76.0,16.0,67.0,73.72,27.2,bachelor,,standard,completed,53.0
,male,20.0,1.0,71.0,29.0,,5.0,master,,standard,,33.666666666666664
1476.0,female,,77.0,32.0,85.0,92.05,12.0,,no,free/reduced,none,64.66666666666667
1893.0,male,19.0,20.0,,89.0,55.44,,,yes,free/reduced,none,41.333333333333336
10504.0,male,20.0,45.0,95.0,70.0,87.48,29.0,high school,no,standard,completed,70.0
,female,18.0,25.0,98.0,63.0,96.8,31.8,,,,none,62.0
,,19.0,20.0,11.0,9.0,91.13,3.2,,,standard,none,13.333333333333334
252.0,male,20.0,37.0,67.0,36.0,99.68,6.8,high school,,free/reduced,,46.666666666666664
8584.0,male,15.0,66.0,80.0,28.0,70.94,24.1,,yes,free/reduced,none,58.0
5459.0,female,16.0,,95.0,99.0,71.84,,bachelor,no,free/reduced,none,73.0
2158.0,male,19.0,58.0,32.0,47.0,78.2,,master,yes,free/reduced,completed,
7786.0,male,16.0,8.0,98.0,13.0,58.05,39.2,master,yes,standard,none,39.666666666666664
1180.0,male,16.0,,71.0,78.0,62.67,19.9,,,standard,,70.66666666666667
7477.0,,20.0,23.0,37.0,39.0,92.72,28.1,phd,yes,standard,completed,33.0
7217.0,male,18.0,,82.0,64.0,73.28,20.8,,,standard,none,54.333333333333336
11239.0,female,20.0,99.0,38.0,54.0,,10.5,bachelor,yes,standard,,63.666666666666664
324.0,female,20.0,71.0,96.0,38.0,99.78,,,no,free/reduced,completed,68.33333333333333
9094.0,female,16.0,23.0,68.0,57.0,85.24,38.6,bachelor,,free/reduced,completed,49.333333333333336
,,18.0,27.0,71.0,92.0,75.3,23.6,master,no,standard,completed,63.333333333333336
448.0,female,21.0,5.0,50.0,96.0,85.7,27.9,phd,no,free/reduced,none,50.333333333333336
4078.0,male,19.0,,55.0,71.0,,5.3,master,,standard,none,47.333333333333336
,male,21.0,6.0,58.0,60.0,61.3,24.5,high school,no,free/reduced,none,41.333333333333336
,male,20.0,84.0,45.0,80.0,61.97,5.7,master,yes,standard,none,69.66666666666667
884.0,female,17.0,96.0,26.0,,88.65,25.9,,yes,free/reduced,completed,73.0
7482.0,female,20.0,98.0,12.0,81.0,96.74,26.7,master,yes,free/reduced,completed,63.666666666666664
11165.0,female,15.0,,14.0,,75.71,11.8,,no,free/reduced,completed,53.0
5835.0,male,19.0,,42.0,92.0,56.01,14.6,bachelor,no,,none,63.333333333333336
2529.0,female,15.0,84.0,70.0,41.0,78.23,29.6,phd,no,,none,65.0
,female,20.0,,39.0,62.0,97.38,0.3,,,standard,none,53.0
7676.0,,18.0,30.0,86.0,74.0,87.45,28.3,bachelor,yes,free/reduced,none,63.333333333333336
5750.0,,,59.0,81.0,6.0,85.59,,high school,yes,standard,none,48.666666666666664
1789.0,,21.0,39.0,89.0,25.0,79.86,14.2,bachelor,no,standard,completed,51.0
10846.0,male,16.0,79.0,18.0,82.0,90.9,3.3,master,,standard,none,59.666666666666664
,male,20.0,18.0,87.0,41.0,82.66,4.4,bachelor,no,free/reduced,none,48.666666666666664
9789.0,female,19.0,58.0,,20.0,53.11,22.6,,yes,free/reduced,,52.666666666666664
11014.0,female,18.0,77.0,45.0,78.0,55.03,,bachelor,yes,,,66.66666666666667
10510.0,,19.0,53.0,86.0,50.0,70.46,35.7,high school,yes,standard,completed,63.0
,male,18.0,49.0,0.0,,62.79,33.2,bachelor,,standard,none,
8757.0,female,,41.0,6.0,,,39.8,,,free/reduced,none,22.666666666666668
10574.0,female,20.0,2.0,60.0,88.0,74.52,29.6,,yes,standard,completed,50.0
3277.0,male,16.0,62.0,25.0,58.0,94.36,34.6,,no,free/reduced,none,48.333333333333336
,male,,88.0,31.0,59.0,86.57,21.0,master,yes,standard,completed,59.333333333333336
11118.0,female,21.0,58.0,70.0,95.0,95.95,38.5,master,no,,completed,74.33333333333333
4130.0,male,17.0,,63.0,37.0,84.02,22.7,bachelor,yes,,completed,35.666666666666664
2003.0,female,16.0,99.0,10.0,,85.2,27.5,master,yes,standard,completed,56.0
6740.0,female,16.0,33.0,,4.0,,,master,yes,free/reduced,,19.333333333333332
7180.0,male,,75.0,20.0,,57.15,8.7,bachelor,no,free/reduced,none,58.0
9538.0,female,16.0,53.0,23.0,98.0,88.72,9.6,,no,standard,none,58.0
3144.0,male,15.0,27.0,57.0,12.0,71.87,38.2,master,,free/reduced,none,32.0
,male,18.0,41.0,28.0,58.0,97.15,38.5,phd,yes,standard,,42.333333333333336
3457.0,male,21.0,91.0,71.0,32.0,85.41,30.1,master,,standard,none,64.66666666666667
10351.0,male,,45.0,19.0,51.0,66.94,26.3,,yes,standard,none,38.333333333333336
11517.0,male,16.0,56.0,42.0,66.0,99.61,22.7,bachelor,no,standard,none,54.666666666666664
10620.0,male,19.0,81.0,31.0,21.0,86.4,,,,standard,,44.333333333333336
,male,20.0,7.0,,36.0,73.47,30.8,bachelor,no,free/reduced,,
6830.0,female,17.0,22.0,16.0,5.0,75.84,25.9,bachelor,,free/reduced,completed,14.333333333333334
5577.0,,16.0,,2.0,76.0,99.79,0.9,,no,standard,none,30.666666666666668
11897.0,female,16.0,10.0,9.0,52.0,,38.4,master,yes,free/reduced,none,23.666666666666668
7192.0,female,16.0,2.0,91.0,38.0,56.62,7.4,bachelor,yes,free/reduced,none,
11969.0,male,15.0,18.0,11.0,19.0,71.97,8.7,high school,yes,standard,none,16.0
643.0,female,15.0,12.0,3.0,82.0,,8.0,,yes,free/reduced,none,32.333333333333336
2306.0,male,20.0,37.0,97.0,61.0,97.92,37.7,,,free/reduced,completed,
4205.0,female,19.0,1.0,93.0,74.0,50.39,21.5,high school,yes,free/reduced,,56.0
3491.0,,,83.0,82.0,62.0,53.63,38.2,master,,standard,,75.66666666666667
6875.0,male,20.0,80.0,,45.0,94.71,36.0,phd,no,free/reduced,none,49.333333333333336
10419.0,female,21.0,36.0,24.0,13.0,81.61,17.9,master,yes,standard,none,24.333333333333332
11020.0,female,21.0,67.0,86.0,78.0,83.34,0.9,phd,no,standard,completed,77.0
8880.0,female,19.0,95.0,98.0,63.0,54.59,,,,standard,none,85.33333333333333
6723.0,female,21.0,18.0,57.0,16.0,57.56,35.7,bachelor,no,standard,completed,30.333333333333332
3984.0,female,18.0,17.0,80.0,47.0,52.74,35.1,bachelor,,free/reduced,completed,48.0
1229.0,female,15.0,27.0,80.0,70.0,81.54,6.9,phd,no,free/reduced,none,59.0
3943.0,female,21.0,,82.0,74.0,85.1,22.3,high school,,standard,completed,75.0
6922.0,female,17.0,56.0,42.0,36.0,75.0,19.2,bachelor,no,standard,none,44.666666666666664
,female,19.0,,88.0,,56.4,21.4,bachelor,,free/reduced,none,35.333333333333336
10686.0,female,17.0,57.0,50.0,71.0,82.86,2.8,,no,standard,none,59.333333333333336
8039.0,male,19.0,47.0,49.0,85.0,78.77,4.1,,,standard,none,60.333333333333336
